Phase,BJD,JD,V,V_error
2.0058797084,2457613.29411206,2457613.29367,17.024,0.047381431
2.0124858804,2457613.29460202,2457613.29416,17.096,0.0503587132
2.0189570824,2457613.29508197,2457613.29464,17.12,0.0553263048
2.0254284288,2457613.29556193,2457613.29512,17.074,0.0533385414
2.0316301052,2457613.29602189,2457613.29558,17.088,0.0533385414
2.0379666197,2457613.29649185,2457613.29605,17.092,0.0543323108
2.0445727917,2457613.29698181,2457613.29654,16.961,0.0493659802
2.0511788256,2457613.29747176,2457613.29703,17.137,0.0583095189
2.057650172,2457613.29795172,2457613.29751,17.055,0.0523450093
2.064256344,2457613.29844168,2457613.298,17.09,0.0543323108
2.0705927204,2457613.29891163,2457613.29847,17.015,0.0483735465
2.0769292286,2457613.29938159,2457613.29894,17.099,0.0533385414
2.0832657368,2457613.29985155,2457613.29941,17.165,0.0562227712
2.0898719151,2457613.30034151,2457613.2999,17.247,0.0602992537
2.0962082852,2457613.30081146,2457613.30037,17.006,0.0503587132
2.1024099679,2457613.30127142,2457613.30083,17.097,0.0553263048
2.108881308,2457613.30175138,2457613.30131,17.175,0.0612943717
2.1158919756,2457613.30227134,2457613.30183,17.109,0.0563205114
2.122093652,2457613.3027313,2457613.30229,17.11,0.0593043
2.1285648603,2457613.30321125,2457613.30277,17.049,0.0533385414
2.1350362067,2457613.30369121,2457613.30325,17.185,0.0593043
2.1415075468,2457613.30417117,2457613.30373,17.167,0.0602992537
2.1477092232,2457613.30463113,2457613.30419,17.156,0.0612943717
2.1540455995,2457613.30510108,2457613.30466,17.035,0.0513517283
2.1606517716,2457613.30559104,2457613.30515,17.112,0.0593043
2.1672579436,2457613.306081,2457613.30564,17.241,0.0642806347
2.1735944581,2457613.30655096,2457613.30611,17.293,0.0672681202
2.1803353238,2457613.30705091,2457613.30661,17.012,0.0503587132
2.1866718383,2457613.30752087,2457613.30708,17.2,0.0652763357
2.1930083466,2457613.30799083,2457613.30755,17.137,0.0553263048
2.1993448611,2457613.30846079,2457613.30802,16.991,0.0513517283
2.205950895,2457613.30895074,2457613.30851,17.071,0.0563205114
2.2122874095,2457613.3094207,2457613.30898,17.185,0.0612943717
2.2188935815,2457613.30991066,2457613.30947,17.132,0.0602992537
2.2250952579,2457613.31037062,2457613.30993,17.262,0.0662721661
2.2315664661,2457613.31085057,2457613.31041,17.298,0.0662721661
2.2380378063,2457613.31133053,2457613.31089,17.282,0.0632850693
2.2446439783,2457613.31182049,2457613.31138,17.322,0.0702566723
2.2511153247,2457613.31230045,2457613.31186,17.263,0.0672681202
2.2575865267,2457613.3127804,2457613.31234,17.314,0.0722495675
2.2639230412,2457613.31325036,2457613.31281,17.213,0.0662721661
2.2705292132,2457613.31374032,2457613.3133,17.154,0.0632850693
2.2767308895,2457613.31420028,2457613.31376,17.105,0.0573149195
2.2832020978,2457613.31468023,2457613.31424,17.111,0.0593043
2.2896734442,2457613.31516019,2457613.31472,17.217,0.0632850693
2.2961447843,2457613.31564015,2457613.3152,16.948,0.0513517283
2.3023464607,2457613.31610011,2457613.31566,17.169,0.0612943717
2.3092221646,2457613.31661006,2457613.31617,17.004,0.0523450093
2.315423841,2457613.31707002,2457613.31663,17.062,0.0573149195
2.322030013,2457613.31755998,2457613.31712,17.132,0.0632850693
2.3349725614,2457613.31851989,2457613.31808,17.157,0.0642806347
2.3413090759,2457613.31898985,2457613.31855,17.214,0.0632850693
2.3476455841,2457613.31945981,2457613.31902,17.264,0.0652763357
2.3539820986,2457613.31992977,2457613.31949,17.192,0.0583095189
2.3605882706,2457613.32041973,2457613.31998,17.202,0.0652763357
2.366924647,2457613.32088968,2457613.32045,17.164,0.0632850693
2.3736656509,2457613.32138964,2457613.32095,17.282,0.0752396172
2.3928098757,2457613.32280951,2457613.32237,17.295,0.0712530701
2.3992812158,2457613.32328947,2457613.32285,17.439,0.0832946577
2.4057525622,2457613.32376943,2457613.32333,17.181,0.0672681202
2.4122237642,2457613.32424938,2457613.32381,17.144,0.062289646
2.4184254468,2457613.32470934,2457613.32427,17.29,0.0722495675
2.4250316188,2457613.3251993,2457613.32476,17.204,0.0672681202
2.4313681333,2457613.32566926,2457613.32523,17.051,0.0573149195
2.4381089991,2457613.32616921,2457613.32573,17.231,0.0693541635
2.4444455073,2457613.32663917,2457613.3262,17.248,0.0733348485
2.4637245702,2457613.32806904,2457613.32763,17.122,0.062289646
2.4700610785,2457613.328539,2457613.3281,17.128,0.0652763357
2.4766672505,2457613.32902896,2457613.32859,17.187,0.0673646792
2.4831385969,2457613.32950892,2457613.32907,17.316,0.0753259583
2.5026873173,2457613.33095879,2457613.33052,16.993,0.0584208867
2.5088889936,2457613.33141875,2457613.33098,17.192,0.0683593446
2.5153602019,2457613.3318987,2457613.33146,17.031,0.0564358042
2.521831542,2457613.33237866,2457613.33194,17.185,0.0703491293
2.541110605,2457613.33380853,2457613.33337,17.184,0.0683593446
2.5474471132,2457613.33427849,2457613.33384,17.192,0.0703491293
2.5603897997,2457613.33523841,2457613.3348,17.075,0.0604069532
2.5671306655,2457613.33573836,2457613.3353,17.164,0.0713442359
2.5736020056,2457613.33621832,2457613.33578,17.162,0.063387696
2.580073352,2457613.33669828,2457613.33626,17.349,0.0803056661
2.586544554,2457613.33717823,2457613.33674,17.341,0.0773175271
2.5927462366,2457613.33763819,2457613.3372,17.463,0.0882043083
2.6056889169,2457613.33859811,2457613.33816,17.049,0.0614003257
2.6120254314,2457613.33906807,2457613.33863,17.387,0.0802246845
2.6317089837,2457613.34052794,2457613.34009,17.668,0.1132166066
2.6380453601,2457613.34099789,2457613.34056,17.472,0.1042353107
2.6443818683,2457613.34146785,2457613.34103,17.576,0.1002447006
2.6509880403,2457613.34195781,2457613.34152,17.369,0.0872811549
