BJD,V,V_error
2457997.46752807,12.107,0.002
2457997.46788807,12.072,0.002
2457997.46824807,12.088,0.002
2457997.46859808,12.089,0.002
2457997.46894808,12.079,0.002
2457997.46930808,12.084,0.002
2457997.46966808,12.11,0.002
2457997.47002809,12.093,0.002
2457997.47038809,12.071,0.002
2457997.47074809,12.095,0.002
2457997.4711081,12.117,0.002
2457997.50403837,12.191,0.01
2457997.50463837,12.191,0.007
2457997.50524838,12.193,0.003
2457997.50584838,12.206,0.008
2457997.50646839,12.196,0.004
2457997.50706839,12.188,0.019
2457997.5076784,12.198,0.003
2457997.5082784,12.208,0.005
2457997.50888841,12.212,0.016
2457997.50949841,12.194,0.002
2457997.51009842,12.188,0.012
2457997.51070842,12.194,0.007
2457997.51131843,12.19,0.009
2457997.51192843,12.192,0.007
2457997.51252844,12.174,0.01
2457997.51374845,12.171,0.004
2457997.51435845,12.156,0.01
2457997.51495846,12.144,0.004
2457997.51556846,12.143,0.006
2457997.51617847,12.133,0.008
2457997.51738848,12.125,0.011
2457997.51800848,12.122,0.008
2457997.51860849,12.116,0.004
2457997.51920849,12.137,0.007
2457997.5198185,12.108,0.006
2457997.5204185,12.1,0.003
2457997.52103851,12.077,0.003
2457997.52163851,12.087,0.011
2457997.52224852,12.06,0.007
2457997.52285852,12.049,0.005
2457997.52346853,12.049,0.016
2457997.52406853,12.022,0.005
2457997.52467854,12.028,0.002
2457997.52528854,12.012,0.006
2457997.52589855,12.016,0.014
2457997.52649855,12.011,0.003
2457997.52710856,12.01,0.014
2457997.52771856,11.994,0.011
2457997.52831857,11.997,0.007
2457997.52892857,12.015,0.006
2457997.52952857,11.996,0.013
2457997.53014858,11.996,0.011
2457997.53074858,11.988,0.013
2457997.53135859,12.004,0.009
2457997.53195859,12.018,0.011
2457997.5325786,12.021,0.014
2457997.5331786,12.023,0.008
2457997.53378861,12.025,0.009
2457997.53438861,12.034,0.003
2457997.53500862,12.035,0.019
2457997.53560862,12.046,0.007
2457997.53621863,12.061,0.009
2457997.53681863,12.063,0.007
2457997.53742864,12.07,0.017
2457997.53803864,12.081,0.005
2457997.53863865,12.085,0.007
2457997.53925865,12.081,0.01
2457997.53985866,12.094,0.009
2457997.54046866,12.096,0.008
2457997.54106867,12.094,0.011
2457997.54168867,12.097,0.011
2457997.54228868,12.107,0.004
2457997.54289868,12.119,0.007
2457997.54349869,12.117,0.008
2457997.54411869,12.127,0.013
2457998.31257059,12.481,0.026
2457998.3136346,12.467,0.026
2457998.31605362,12.457,0.024
2457998.31709563,12.46,0.023
2457998.31812564,12.458,0.024
2457998.31916765,12.441,0.024
2457998.32022065,12.41,0.023
2457998.32127366,12.401,0.023
2457998.32232767,12.393,0.022
2457998.32338068,12.359,0.023
2457998.32444569,12.341,0.022
2457998.3254987,12.327,0.022
