Phase,BJD,JD,V,V_error
1.4760686018,2457817.58490256,2457817.58175,17.735,0.030013329
1.4806532562,2457817.58524259,2457817.58209,17.814,0.0330121174
1.4853727425,2457817.58559262,2457817.58244,17.887,0.0350114252
1.4900920906,2457817.58594264,2457817.58279,17.826,0.0360111082
1.4948115769,2457817.58629267,2457817.58314,17.876,0.0350114251
1.4993962313,2457817.5866327,2457817.58348,17.837,0.0340117613
1.5041157113,2457817.58698273,2457817.58383,17.917,0.0350114256
1.5088351976,2457817.58733276,2457817.58418,17.881,0.0360111088
1.5135545457,2457817.58768278,2457817.58453,17.858,0.0350114254
1.5181392001,2457817.58802281,2457817.58487,17.859,0.0370108078
1.5228586864,2457817.58837284,2457817.58522,17.87,0.0330121186
1.5275781727,2457817.58872287,2457817.58557,17.887,0.035011425
1.5321628208,2457817.5890629,2457817.58591,17.891,0.0370108077
1.5368821753,2457817.58941292,2457817.58626,17.824,0.034011761
1.5416016553,2457817.58976295,2457817.58661,17.899,0.0360111078
1.5463211415,2457817.59011298,2457817.58696,17.915,0.0380105234
1.5509057959,2457817.59045301,2457817.5873,17.874,0.036011108
1.5556252822,2457817.59080304,2457817.58765,17.85,0.0340117612
1.5603446304,2457817.59115306,2457817.588,17.815,0.0340117618
1.5650641167,2457817.59150309,2457817.58835,17.915,0.038010524
1.5696487648,2457817.59184312,2457817.58869,17.902,0.035011425
1.5743682511,2457817.59219315,2457817.58904,17.91,0.0370108082
1.5790875992,2457817.59254317,2457817.58939,17.976,0.040009998
1.5836722536,2457817.5928832,2457817.58973,17.915,0.0370108079
1.5883917399,2457817.59323323,2457817.59008,17.988,0.0390102538
1.5931112262,2457817.59358326,2457817.59043,17.937,0.0380105236
1.5978307062,2457817.59393329,2457817.59078,17.958,0.0390102539
1.6024152287,2457817.59427331,2457817.59112,17.892,0.0340117619
1.6071347087,2457817.59462334,2457817.59147,17.877,0.0360111081
1.611854195,2457817.59497337,2457817.59182,17.814,0.0330121177
1.6165736813,2457817.5953234,2457817.59217,17.924,0.0380105231
1.6211583357,2457817.59566343,2457817.59251,17.889,0.0360111082
1.6258778157,2457817.59601346,2457817.59286,17.971,0.0400099977
1.6305971701,2457817.59636348,2457817.59321,17.963,0.0380105234
1.6353166502,2457817.59671351,2457817.59356,17.959,0.0370108079
1.6399013046,2457817.59705354,2457817.5939,17.922,0.036011108
1.6446207908,2457817.59740357,2457817.59425,17.954,0.0360111079
1.649340139,2457817.59775359,2457817.5946,17.846,0.0330121175
1.6539247934,2457817.59809362,2457817.59494,17.841,0.0340117614
1.6586442797,2457817.59844365,2457817.59529,17.916,0.0370108079
1.6633637597,2457817.59879368,2457817.59564,17.868,0.0330121175
