BJD,JD,V,V_error
2455598.0301617,2455598.02943,17.67,0.1
2455598.03949254,2455598.03876,18.18,0.12
2455598.04866337,2455598.04793,18.12,0.12
2455713.71162218,2455713.70602,18.28,0.18
2455713.71672201,2455713.71112,17.65,0.11
2455713.72188183,2455713.71628,17.57,0.11
2455713.72702166,2455713.72142,18.29,0.21
2455720.77347626,2455720.76815,12.59,0.05
2455720.78099593,2455720.77567,12.22,0.05
2455720.7885356,2455720.78321,12.42,0.05
2455720.79597527,2455720.79065,12.54,0.05
2455634.96410465,2455634.96025,17.89,0.11
2455634.97283529,2455634.96898,17.55,0.1
2455634.98147592,2455634.97762,17.49,0.1
2455634.99017655,2455634.98632,17.65,0.1
2455647.94637469,2455647.94166,17.81,0.11
2455647.95424515,2455647.94953,17.54,0.1
2455647.96212562,2455647.95741,17.66,0.1
2455647.96998608,2455647.96527,17.9,0.11
2455683.86998307,2455683.864,17.75,0.09
2455683.88044317,2455683.87446,17.97,0.1
2455683.89097327,2455683.88499,17.42,0.09
2455683.90148336,2455683.8955,17.54,0.09
2455689.84635261,2455689.84034,17.85,0.11
2455689.85277261,2455689.84676,17.54,0.1
2455689.85916261,2455689.85315,17.42,0.09
2455689.86559262,2455689.85958,17.49,0.1
2455701.82333041,2455701.81742,17.61,0.1
2455701.83211026,2455701.8262,17.75,0.11
2455701.8409101,2455701.835,17.77,0.11
2455701.84970995,2455701.8438,17.7,0.1
2454172.95029336,2454172.94656,18.12,0.12
2454172.95573376,2454172.952,18.01,0.11
2454172.96125417,2454172.95752,17.9,0.11
2454172.96668457,2454172.96295,17.96,0.11
2455929.02850077,2455929.03067,13.52,0.05
2455929.03227105,2455929.03444,13.44,0.05
2455929.03613134,2455929.0383,13.39,0.05
2455929.04004163,2455929.04221,13.39,0.05
2455987.9381002,2455987.9352,17.43,0.1
2455987.94383067,2455987.94093,17.43,0.1
2455987.94955115,2455987.94665,17.64,0.1
2455987.95519162,2455987.95229,17.67,0.1
2456003.91116962,2456003.90705,17.77,0.1
2456003.91975022,2456003.91563,17.73,0.1
2456003.92838082,2456003.92426,17.83,0.11
2456003.93696142,2456003.93284,17.89,0.11
2456014.89940618,2456014.89459,18.02,0.1
2456014.90764666,2456014.90283,17.78,0.09
2456014.91584713,2456014.91103,17.46,0.09
2456014.9240876,2456014.91927,17.41,0.09
2456035.94924121,2456035.94351,17.37,0.09
2456035.95523138,2456035.9495,17.41,0.09
2456035.96127156,2456035.95554,17.46,0.09
2456035.96737173,2456035.96164,17.67,0.1
2456042.89704721,2456042.89115,17.67,0.1
2456042.9021073,2456042.89621,17.88,0.11
2456042.90730739,2456042.90141,17.84,0.11
2456042.91240749,2456042.90651,17.89,0.11
2456060.87948193,2456060.87349,17.93,0.11
2456060.88792185,2456060.88193,17.79,0.11
2456060.89637178,2456060.89038,17.86,0.11
2456060.9049617,2456060.89897,17.92,0.11
2456069.90249741,2456069.89664,17.01,0.08
2456069.91043724,2456069.90458,17.04,0.08
2456069.91840706,2456069.91255,17.05,0.08
2456069.92643687,2456069.92058,17.16,0.09
2456088.77686297,2456088.77166,17.92,0.11
2456088.78192273,2456088.77672,17.91,0.11
2456088.78722247,2456088.78202,17.99,0.11
2456088.79230223,2456088.7871,17.99,0.11
2456095.81599074,2456095.81115,17.82,0.11
2456095.82410028,2456095.81926,17.58,0.1
2456095.83214983,2456095.82731,17.46,0.1
2456095.84034937,2456095.83551,17.52,0.1
2456314.99743207,2456314.9979,17.62,0.1
2456315.00720293,2456315.00767,17.67,0.1
2456315.01691379,2456315.01738,17.84,0.11
2456315.02660465,2456315.02707,17.85,0.11
2456363.99516619,2456363.99141,17.66,0.1
2456363.99851643,2456363.99476,17.75,0.1
2456364.00191669,2456363.99816,17.83,0.11
2456364.00535694,2456364.0016,17.91,0.11
2456385.94534316,2456385.94021,17.88,0.11
2456385.95039341,2456385.94526,17.82,0.11
2456385.95547366,2456385.95034,17.92,0.11
2456385.96064392,2456385.95551,17.95,0.11
2456402.91597532,2456402.91019,13.8,0.06
2456402.9190754,2456402.91329,13.79,0.06
2456402.92226548,2456402.91648,13.8,0.06
2456402.92536556,2456402.91958,13.78,0.06
2456402.9538563,2456402.94807,13.83,0.05
2456402.96011646,2456402.95433,13.83,0.05
2456402.96642662,2456402.96064,13.84,0.05
2456402.97274678,2456402.96696,13.81,0.05
2456411.95967416,2456411.95371,17.7,0.1
2456411.96753426,2456411.96157,17.73,0.1
2456411.97533435,2456411.96937,17.82,0.1
2456411.98314445,2456411.97718,17.83,0.1
2456417.8817854,2456417.87577,17.97,0.12
