BJD,i,i_error
2457615.31190511,17.4706666667,0.3180222541
2457615.2054645,17.8203333333,0.2990157763
2457615.32316411,17.6013333333,0.3180221193
2457615.32833365,17.6686666667,0.3230217769
2457615.33294324,17.2443333333,0.2300307677
2457615.33644293,17.2023333333,0.2440359209
2457615.33828277,17.3096666667,0.2700260512
2457615.34142249,16.8236666667,0.1990495839
2457615.20897419,17.6713333333,0.2700173391
2457615.21376377,17.9303333333,0.3470133964
2457615.21874333,17.6193333333,0.2580180173
2457615.22188306,17.3076666667,0.1890247693
2457615.22502278,17.664,0.2870164359
