BJD,JD,V,V_error
2454759.32326377,2454759.3187,12.94,0.01
2454759.32406372,2454759.3195,12.91,0.01
2454759.32414372,2454759.31958,12.886,0.019
2454759.32486367,2454759.3203,12.92,0.01
2454759.32537364,2454759.32081,12.85,0.017
2454759.32566362,2454759.3211,12.92,0.01
2454759.32646358,2454759.3219,12.92,0.01
2454759.32660357,2454759.32204,12.884,0.019
2454759.32716353,2454759.3226,12.92,0.01
2454759.32784349,2454759.32328,12.889,0.02
2454759.32796349,2454759.3234,12.91,0.01
2454759.32876344,2454759.3242,12.93,0.01
2454759.32906342,2454759.3245,12.895,0.017
2454759.32956339,2454759.325,12.93,0.01
2454759.33026335,2454759.3257,12.9,0.01
2454759.33029334,2454759.32573,12.881,0.018
2454759.3310633,2454759.3265,12.9,0.01
2454759.33153327,2454759.32697,12.857,0.018
2454759.33186325,2454759.3273,12.94,0.01
2454759.3326632,2454759.3281,12.92,0.01
2454759.33308318,2454759.32852,12.9,0.017
2454759.33336316,2454759.3288,12.91,0.01
2454759.33416311,2454759.3296,12.91,0.01
2454759.3343131,2454759.32975,12.896,0.017
2454759.33496306,2454759.3304,12.93,0.01
2454759.33554303,2454759.33098,12.891,0.017
2454759.33576301,2454759.3312,12.92,0.01
2454759.33656297,2454759.332,12.91,0.01
2454759.33677295,2454759.33221,12.899,0.017
2454759.33726292,2454759.3327,12.92,0.01
2454759.33806288,2454759.3335,12.93,0.01
2454759.33886283,2454759.3343,12.88,0.01
2454759.33966278,2454759.3351,12.93,0.01
2454759.34036274,2454759.3358,12.92,0.01
2454759.34116269,2454759.3366,12.93,0.01
2454759.34196264,2454759.3374,12.92,0.01
2454759.34276259,2454759.3382,12.93,0.01
2454759.34346255,2454759.3389,12.9,0.01
2454759.3442625,2454759.3397,12.93,0.01
2454759.34506245,2454759.3405,12.91,0.01
2454759.3458624,2454759.3413,12.93,0.01
2454759.34656236,2454759.342,12.93,0.01
2454759.34736231,2454759.3428,12.92,0.01
2454759.34816226,2454759.3436,12.93,0.01
2454759.34896221,2454759.3444,12.93,0.01
2454759.34976217,2454759.3452,12.96,0.01
2454759.35046212,2454759.3459,12.95,0.01
2454759.35126208,2454759.3467,12.94,0.01
2454759.35206203,2454759.3475,12.93,0.01
2454759.35286198,2454759.3483,12.94,0.01
2454759.35356194,2454759.349,12.92,0.01
2454759.35436189,2454759.3498,12.93,0.01
2454759.35516184,2454759.3506,12.93,0.01
2454759.35596179,2454759.3514,12.94,0.01
2454759.35676174,2454759.3522,12.95,0.01
2454759.3574617,2454759.3529,12.92,0.01
2454759.35826165,2454759.3537,12.92,0.01
2454759.3590616,2454759.3545,12.98,0.01
2454759.35986155,2454759.3553,12.94,0.01
2454759.36066151,2454759.3561,12.93,0.01
2454759.36136146,2454759.3568,12.93,0.01
2454759.36216142,2454759.3576,12.91,0.01
2454762.24458217,2454762.2402,16.8,0.1
2455149.45344763,2455149.45069,17.56,0.102
2455396.66324181,2455396.65903,17.45,0.107
2455400.65793411,2455400.65347,17.42,0.102
2455432.39905522,2455432.39326,13.544,0.009
2455432.39949523,2455432.3937,13.553,0.008
2455432.40022525,2455432.39443,13.562,0.008
2455432.40095526,2455432.39516,13.568,0.005
2455432.40168528,2455432.39589,13.561,0.006
2455432.40241529,2455432.39662,13.574,0.006
2455432.40314531,2455432.39735,13.563,0.006
2455432.40388532,2455432.39809,13.583,0.01
2455432.40461534,2455432.39882,13.576,0.013
2455432.40534535,2455432.39955,13.575,0.009
2455432.40607537,2455432.40028,13.574,0.007
2455432.40680538,2455432.40101,13.557,0.008
2455432.4075354,2455432.40174,13.563,0.01
2455432.40826541,2455432.40247,13.572,0.009
2455432.40900543,2455432.40321,13.568,0.016
2455432.40973544,2455432.40394,13.56,0.007
2455432.41045546,2455432.40466,13.578,0.017
2455432.41118547,2455432.40539,13.574,0.007
2455432.41191549,2455432.40612,13.555,0.01
2455432.4126455,2455432.40685,13.568,0.008
2455432.41337552,2455432.40758,13.575,0.012
2455432.41410553,2455432.40831,13.576,0.014
2455432.41484555,2455432.40905,13.567,0.012
2455432.41557556,2455432.40978,13.548,0.006
2455432.41630558,2455432.41051,13.559,0.006
2455432.41703559,2455432.41124,13.578,0.01
2455432.41776561,2455432.41197,13.583,0.009
2455432.41849562,2455432.4127,13.583,0.006
2455432.41922564,2455432.41343,13.583,0.015
2455432.41995566,2455432.41416,13.57,0.014
2455432.42069567,2455432.4149,13.579,0.01
2455432.42142568,2455432.41563,13.597,0.008
2455432.4221457,2455432.41635,13.591,0.008
2455432.42287571,2455432.41708,13.588,0.006
2455432.42360573,2455432.41781,13.583,0.006
2455432.42433575,2455432.41854,13.595,0.007
2455432.42507576,2455432.41928,13.594,0.007
2455432.42580578,2455432.42001,13.581,0.006
2455432.42653579,2455432.42074,13.586,0.006
2455432.4272658,2455432.42147,13.593,0.007
2455432.42799582,2455432.4222,13.596,0.007
2455432.42872583,2455432.42293,13.619,0.015
2455432.42945585,2455432.42366,13.63,0.008
2455432.43018587,2455432.42439,13.595,0.006
2455432.43092588,2455432.42513,13.617,0.008
2455432.43165589,2455432.42586,13.616,0.009
2455432.43238591,2455432.42659,13.623,0.013
2455432.43310593,2455432.42731,13.599,0.01
2455432.43383594,2455432.42804,13.593,0.01
2455432.43456596,2455432.42877,13.614,0.007
2455432.43529597,2455432.4295,13.616,0.009
2455432.436766,2455432.43097,13.605,0.011
2455432.43749602,2455432.4317,13.601,0.013
2455432.43823603,2455432.43244,13.606,0.007
2455432.43897605,2455432.43318,13.607,0.007
2455432.43970606,2455432.43391,13.602,0.009
2455432.44043608,2455432.43464,13.618,0.007
2455432.44116609,2455432.43537,13.621,0.013
2455432.44190611,2455432.43611,13.617,0.009
2455432.44263612,2455432.43684,13.63,0.009
2455432.44337614,2455432.43758,13.633,0.007
2455432.44410615,2455432.43831,13.621,0.009
2455432.44483617,2455432.43904,13.611,0.007
2455432.44556618,2455432.43977,13.646,0.008
2455432.4462962,2455432.4405,13.615,0.008
2455432.44703621,2455432.44124,13.622,0.007
2455432.44777623,2455432.44198,13.626,0.007
2455432.44850624,2455432.44271,13.627,0.008
2455432.44923626,2455432.44344,13.649,0.01
2455432.44996627,2455432.44417,13.646,0.008
2455432.4514363,2455432.44564,13.628,0.009
2455432.45288633,2455432.44709,13.624,0.008
2455432.45361635,2455432.44782,13.634,0.008
2455432.45435636,2455432.44856,13.628,0.007
2455432.45508638,2455432.44929,13.619,0.008
2455432.45581639,2455432.45002,13.634,0.011
2455432.45654641,2455432.45075,13.637,0.008
2455432.45727642,2455432.45148,13.642,0.007
2455432.45800644,2455432.45221,13.646,0.007
2455432.45875645,2455432.45296,13.64,0.008
2455432.45948647,2455432.45369,13.642,0.007
2455432.46021648,2455432.45442,13.634,0.008
2455432.4609565,2455432.45516,13.661,0.008
2455432.46168651,2455432.45589,13.651,0.007
2455432.46241653,2455432.45662,13.634,0.008
2455432.46314654,2455432.45735,13.627,0.009
2455432.46387656,2455432.45808,13.658,0.009
2455432.46461657,2455432.45882,13.639,0.007
2455432.46535659,2455432.45956,13.633,0.008
2455432.4660966,2455432.4603,13.641,0.011
2455432.46682662,2455432.46103,13.647,0.008
2455432.46755663,2455432.46176,13.634,0.008
2455432.46828665,2455432.46249,13.651,0.009
2455432.46901666,2455432.46322,13.652,0.009
2455432.46974668,2455432.46395,13.637,0.007
2455432.47047669,2455432.46468,13.636,0.009
2455432.47121671,2455432.46542,13.639,0.008
2455432.47194672,2455432.46615,13.651,0.007
2455432.47267674,2455432.46688,13.652,0.007
2455432.47339675,2455432.4676,13.648,0.009
2455432.62202979,2455432.61623,13.834,0.01
2455432.6227598,2455432.61696,13.817,0.013
2455432.62349981,2455432.6177,13.822,0.017
2455432.62422983,2455432.61843,13.841,0.014
2455432.62495985,2455432.61916,13.824,0.013
2455432.62567986,2455432.61988,13.826,0.012
2455432.62640987,2455432.62061,13.836,0.016
2455432.62713989,2455432.62134,13.83,0.013
2455432.6278699,2455432.62207,13.835,0.009
2455432.62859992,2455432.6228,13.836,0.019
