Phase,BJD,JD,V,V_error
0.7873970892,2457610.23706086,2457610.23635,13.949,0.0094339811
0.7914417506,2457610.23736084,2457610.23665,13.975,0.0089442719
0.7958907631,2457610.23769081,2457610.23698,13.989,0.0080622577
0.7998004545,2457610.23798078,2457610.23727,13.976,0.0080622577
0.8041146352,2457610.23830075,2457610.23759,13.969,0.0089442719
0.8081591584,2457610.23860072,2457610.23789,13.983,0.0094339811
0.8122038135,2457610.2389007,2457610.23819,13.983,0.0094339811
0.8163831623,2457610.23921067,2457610.2385,13.983,0.0094339811
0.8204276855,2457610.23951064,2457610.2388,13.972,0.0094339811
0.8244723406,2457610.23981062,2457610.2391,13.972,0.0094339811
0.8283820319,2457610.24010059,2457610.23939,13.966,0.0094339811
0.832426687,2457610.24040057,2457610.23969,13.99,0.0102956301
0.8371452252,2457610.24075053,2457610.24004,13.995,0.0102956301
0.8411898866,2457610.24105051,2457610.24034,13.968,0.0116619038
0.8450995716,2457610.24134048,2457610.24063,13.982,0.0116619038
0.849144233,2457610.24164046,2457610.24093,13.983,0.0116619038
0.8531887499,2457610.24194043,2457610.24123,13.982,0.0094339811
0.8575029369,2457610.2422604,2457610.24155,13.993,0.0094339811
0.861547592,2457610.24256038,2457610.24185,14.002,0.0102956301
0.8654572833,2457610.24285035,2457610.24214,13.989,0.0094339811
0.869771464,2457610.24317032,2457610.24246,13.992,0.0102956301
0.8736812872,2457610.2434603,2457610.24275,14.011,0.0130384048
0.8781302998,2457610.24379027,2457610.24308,13.996,0.0116619038
0.8823096549,2457610.24410024,2457610.24339,14,0.0116619038
0.8860845144,2457610.24438021,2457610.24367,13.989,0.0108166538
0.8902640013,2457610.24469019,2457610.24398,13.986,0.0094339811
0.8944433501,2457610.24500016,2457610.24429,13.992,0.0094339811
0.8984878733,2457610.24530013,2457610.24459,13.985,0.0094339811
0.9026672285,2457610.2456101,2457610.2449,13.961,0.0102956301
0.9067118835,2457610.24591008,2457610.2452,13.981,0.0108166538
0.9107564005,2457610.24621005,2457610.2455,14.011,0.0116619038
0.9146662299,2457610.24650003,2457610.24579,13.974,0.013892444
0.9192500744,2457610.24684,2457610.24613,13.984,0.0125299641
0.9231597657,2457610.24712997,2457610.24642,13.981,0.013892444
0.9272042827,2457610.24742994,2457610.24672,14.017,0.0130384048
0.9312489378,2457610.24772992,2457610.24702,14.011,0.0125299641
0.9354282929,2457610.24803989,2457610.24733,13.994,0.0125299641
0.9394728098,2457610.24833986,2457610.24763,14.005,0.0130384048
0.9437871286,2457610.24865984,2457610.24795,13.986,0.0130384048
0.9478316519,2457610.24895981,2457610.24825,13.989,0.013892444
0.9517413432,2457610.24924978,2457610.24854,14.006,0.0116619038
0.9568645089,2457610.24962975,2457610.24892,13.995,0.0130384048
0.9611786959,2457610.24994972,2457610.24924,13.988,0.0125299641
0.9652232128,2457610.25024969,2457610.24954,13.993,0.0116619038
0.9692678679,2457610.25054967,2457610.24984,14.014,0.0102956301
0.9735820549,2457610.25086964,2457610.25016,14.005,0.0116619038
0.9776265718,2457610.25116961,2457610.25046,13.99,0.0108166538
0.9818060588,2457610.25147959,2457610.25077,14.029,0.0108166538
0.985850582,2457610.25177956,2457610.25107,14.02,0.0108166538
0.9897602733,2457610.25206953,2457610.25136,14.004,0.0116619038
0.9938049284,2457610.25236951,2457610.25166,14.002,0.013892444
0.9978494516,2457610.25266948,2457610.25196,13.998,0.0147648231
1.0022984642,2457610.25299945,2457610.25229,13.99,0.0116619038
1.0063429812,2457610.25329942,2457610.25259,14.008,0.0108166538
1.0105224681,2457610.2536094,2457610.2529,13.993,0.0102956301
1.0145669913,2457610.25390937,2457610.2532,14.017,0.0108166538
1.0187463464,2457610.25421934,2457610.25351,13.999,0.0108166538
1.0227910015,2457610.25451932,2457610.25381,13.978,0.0111803399
1.0268355184,2457610.25481929,2457610.25411,13.995,0.0094339811
1.0307453479,2457610.25510927,2457610.2544,13.99,0.0102956301
1.0347898649,2457610.25540924,2457610.2547,14.028,0.0094339811
1.03896922,2457610.25571921,2457610.25501,14.002,0.0094339811
1.0435530644,2457610.25605918,2457610.25535,14.004,0.0094339811
1.0474627558,2457610.25634915,2457610.25564,13.984,0.0094339811
1.0515074108,2457610.25664913,2457610.25594,13.999,0.0086023253
1.0555519341,2457610.2569491,2457610.25624,14.023,0.0086023253
1.0598661148,2457610.25726907,2457610.25656,14.008,0.0094339811
1.0639107698,2457610.25756905,2457610.25686,14.018,0.0094339811
1.0679552931,2457610.25786902,2457610.25716,14.006,0.0094339811
1.0718649844,2457610.25815899,2457610.25745,14.037,0.0125299641
1.0760444713,2457610.25846897,2457610.25776,14.034,0.0116619038
1.0800889883,2457610.25876894,2457610.25806,14.021,0.013892444
1.0846728328,2457610.25910891,2457610.2584,14.017,0.0116619038
1.0885825241,2457610.25939888,2457610.25869,14.03,0.0130384048
1.0926271792,2457610.25969886,2457610.25899,14.052,0.013892444
1.0966717024,2457610.25999883,2457610.25929,14.029,0.0130384048
1.1008510512,2457610.2603088,2457610.2596,14.005,0.0130384048
1.1048957126,2457610.26060878,2457610.2599,14.033,0.0144222051
1.1090750614,2457610.26091875,2457610.26021,14.014,0.0147648231
1.1131195846,2457610.26121872,2457610.26051,14.049,0.0116619038
1.1170294078,2457610.2615087,2457610.2608,14.019,0.0108166538
1.1212087629,2457610.26181867,2457610.26111,14.032,0.0094339811
1.1256577755,2457610.26214864,2457610.26144,14.021,0.0094339811
1.1295674668,2457610.26243861,2457610.26173,14.026,0.0094339811
1.1336121219,2457610.26273859,2457610.26203,14.026,0.0108166538
1.1376566388,2457610.26303856,2457610.26233,14.03,0.0094339811
1.1418359939,2457610.26334853,2457610.26264,14.032,0.0094339811
1.1461503128,2457610.26366851,2457610.26296,14.009,0.0102956301
1.1501948297,2457610.26396848,2457610.26326,14.02,0.0108166538
1.1542393529,2457610.26426845,2457610.26356,14.019,0.0102956301
1.1581491761,2457610.26455843,2457610.26385,13.996,0.0108166538
1.1621936993,2457610.2648584,2457610.26415,14.008,0.0102956301
1.1666427119,2457610.26518837,2457610.26448,14.025,0.0108166538
1.1705525414,2457610.26547835,2457610.26477,14.005,0.0116619038
1.1748667221,2457610.26579832,2457610.26509,14.005,0.0116619038
1.1789112453,2457610.26609829,2457610.26539,14.029,0.0108166538
1.1829557623,2457610.26639826,2457610.26569,14.016,0.0116619038
1.1871352492,2457610.26670824,2457610.266,13.983,0.0130384048
1.1911797724,2457610.26700821,2457610.2663,13.982,0.0116619038
1.1952242957,2457610.26730818,2457610.2666,14.005,0.0108166538
1.1991341188,2457610.26759816,2457610.26689,14.02,0.0108166538
1.2031786421,2457610.26789813,2457610.26719,14.02,0.0094339811
1.2078973121,2457610.2682481,2457610.26754,14.015,0.0102956301
