BJD,JD,V,V_error
2456675.121662,2456675.12088,17.758,0.03446
2457113.995827,2457113.99506,17.759,0.03448
2457581.852366,2457581.8516,17.759,0.03448
2457523.822187,2457523.82142,17.76,0.0345
2457514.870757,2457514.86999,17.763,0.03456
2457407.133779,2457407.13301,17.766,0.03463
2457490.890627,2457490.88986,17.767,0.03465
2457164.913036,2457164.91227,17.77,0.03471
2458327.802223,2458327.80145,17.771,0.03474
2457395.12775,2457395.12698,17.78,0.03493
2457183.805265,2457183.8045,17.782,0.03497
2457081.040388,2457081.03962,17.792,0.03519
2457890.008732,2457890.00796,17.809,0.03557
2457095.150787,2457095.15002,17.812,0.03564
2456835.851257,2456835.85048,17.824,0.03591
2457237.785625,2457237.78485,17.824,0.03591
2456865.807336,2456865.80656,17.834,0.03613
2457078.053818,2457078.05305,15.052,0.03618
2457054.075279,2457054.07451,17.837,0.0362
2457917.941262,2457917.94049,17.845,0.03639
2457128.031937,2457128.03117,17.852,0.03655
2456857.830346,2456857.82957,17.86,0.03674
2456864.807196,2456864.80642,17.894,0.03755
2457445.014168,2457445.0134,15.266,0.04163
2458209.898731,2458209.89796,18.076,0.0424
2456811.925618,2456811.92484,18.096,0.04299
2457231.801625,2457231.80085,18.503,0.05744
2457560.919156,2457560.91839,18.822,0.07245
2456821.948188,2456821.94741,16.202,0.08148
2457205.872616,2457205.87184,16.39,0.09285
2457038.12087,2457038.1201,16.878,0.12582
2457222.812376,2457222.8116,17.036,0.13685
2457612.767605,2457612.76684,17.124,0.14271
2457149.994186,2457149.99342,17.128,0.14298
2457581.867326,2457581.86656,17.176,0.14612
2457414.103419,2457414.10265,17.182,0.14651
2457957.782262,2457957.78149,17.202,0.14786
2457804.084172,2457804.0834,17.208,0.14824
2457451.114418,2457451.11365,17.256,0.15125
2457246.777555,2457246.77678,17.276,0.15242
2457807.093142,2457807.09237,17.302,0.15398
2457450.095368,2457450.0946,17.318,0.15499
2457430.038739,2457430.03797,17.322,0.15516
2457181.936485,2457181.93572,17.358,0.1573
2456797.976848,2456797.97607,17.421,0.16075
2457620.749385,2457620.74862,17.433,0.16138
2456827.869008,2456827.86823,17.46,0.16276
2456881.776845,2456881.77607,17.464,0.16291
2457156.938186,2457156.93742,17.465,0.16301
2457240.797705,2457240.79693,17.492,0.16434
2457137.974466,2457137.9737,17.497,0.16453
2457081.049068,2457081.0483,17.503,0.16482
2457199.792875,2457199.79211,17.514,0.16538
2457870.922532,2457870.92176,17.548,0.16687
2457106.993977,2457106.99321,17.55,0.167
2457478.963647,2457478.96288,17.566,0.16765
2457487.898277,2457487.89751,17.567,0.16769
2457489.932757,2457489.93199,17.593,0.1688
2457454.017098,2457454.01633,17.596,0.16892
2457482.051547,2457482.05078,17.612,0.16951
2456857.767406,2456857.76663,18.317,0.16986
2456798.976118,2456798.97534,17.622,0.1699
2457578.878786,2457578.87802,17.636,0.17042
2457104.034857,2457104.03409,17.642,0.17067
2458281.889613,2458281.88884,17.654,0.17106
2457400.11928,2457400.11851,18.256,0.1722
2457125.957417,2457125.95665,17.689,0.17225
2457069.070618,2457069.06985,17.696,0.17247
2457163.950126,2457163.94936,17.701,0.17259
2457193.864635,2457193.86387,17.701,0.17259
2456864.815696,2456864.81492,17.71,0.17289
2458338.786703,2458338.78593,18.234,0.17296
2456862.834866,2456862.83409,17.72,0.17316
2457188.892895,2457188.89213,17.734,0.17355
2457851.115672,2457851.1149,17.738,0.17365
2457460.011518,2457460.01075,17.762,0.17427
2457901.960002,2457901.95923,17.766,0.17439
2457591.761025,2457591.76026,17.772,0.17453
2456811.777828,2456811.77705,17.776,0.17462
2456894.749745,2456894.74897,17.779,0.17469
2457546.921107,2457546.92034,18.17,0.17471
2457095.984747,2457095.98398,17.798,0.1751
2458313.881993,2458313.88122,17.799,0.17512
2456804.908768,2456804.90799,17.822,0.17554
2457576.881806,2457576.88104,17.826,0.17561
2457566.832926,2457566.83216,17.834,0.17577
2456865.816156,2456865.81538,18.118,0.1758
2456856.826576,2456856.8258,17.838,0.17583
2457836.105652,2457836.10488,17.844,0.17593
2456867.816666,2456867.81589,17.846,0.17594
2458277.948202,2458277.94743,18.107,0.17596
2457421.156009,2457421.15524,17.85,0.17602
2457166.752496,2457166.75173,18.102,0.17604
2457508.950537,2457508.94977,17.881,0.17641
2457040.1191,2457040.11833,17.888,0.1765
2457492.900247,2457492.89948,17.889,0.17651
2456386.971839,2456386.97105,17.892,0.17653
2457403.11704,2457403.11627,18.054,0.17663
2457547.916487,2457547.91572,17.906,0.17666
2457457.991658,2457457.99089,17.907,0.17668
2457982.759361,2457982.75859,18.044,0.17671
2457463.046318,2457463.04555,18.044,0.17671
2457762.136543,2457762.13577,17.939,0.17688
2457538.952797,2457538.95203,18.016,0.1769
2458248.847562,2458248.84679,17.953,0.17694
2456890.760615,2456890.75984,18.003,0.17694
2457604.797255,2457604.79649,17.958,0.17695
2457112.908907,2457112.90814,17.959,0.17696
2457984.754911,2457984.75414,17.96,0.17696
2457404.13248,2457404.13171,17.966,0.17697
2457160.924126,2457160.92336,17.97,0.17697
2457785.163503,2457785.16273,17.965,0.17697
2457511.928397,2457511.92763,17.974,0.17698
2457757.145473,2457757.1447,17.978,0.17698
2457980.764481,2457980.76371,17.977,0.17698
