Phase,BJD,V,V_error
4.63893783371896,2457998.57172741,12.368,0.014
4.65628800075501,2457998.57276842,12.334,0.014
4.6742380016176,2457998.57384542,12.325,0.014
4.69158816865365,2457998.57488643,12.318,0.014
4.70915483714452,2457998.57594043,12.294,0.014
4.72688833655229,2457998.57700444,12.323,0.014
4.74445516802371,2457998.57805845,12.338,0.014
4.76200516584049,2457998.57911145,12.35,0.014
4.77955533439945,2457998.58016446,12.344,0.014
4.7973055044813,2457998.58122947,12.37,0.014
4.81485550229809,2457998.58228247,12.394,0.014
4.83260566461831,2457998.58334748,12.378,0.014
4.85055583622307,2457998.58442449,12.414,0.014
4.86810583403985,2457998.58547749,12.431,0.015
4.88565600259881,2457998.5865305,12.447,0.015
4.90320600041559,2457998.5875835,12.442,0.015
4.92057283812574,2457998.58862551,12.446,0.015
4.93812299892306,2457998.58967852,12.453,0.015
4.95548966589104,2457998.59072052,12.462,0.015
4.97285650360118,2457998.59176253,12.469,0.015
4.99078983378968,2457998.59283853,12.461,0.015
5.00834000234863,2457998.59389154,12.476,0.016
5.02609016466886,2457998.59495655,12.469,0.016
5.04364017024636,2457998.59600955,12.472,0.016
5.0611903310446,2457998.59706256,12.483,0.016
5.07875699953547,2457998.59811656,12.499,0.016
5.1190740003567,2457998.60053558,12.515,0.016
5.13700733054429,2457998.60161158,12.508,0.016
5.15494083147496,2457998.60268759,12.501,0.016
5.1723076691851,2457998.6037296,12.5,0.016
5.1902409993736,2457998.6048056,12.493,0.016
5.20780783084592,2457998.60585961,12.509,0.016
5.22555783794633,2457998.60692461,12.51,0.016
5.24272466637194,2457998.60795462,12.527,0.016
5.26085816882551,2457998.60904263,12.516,0.016
5.27859149749111,2457998.61010663,12.515,0.016
5.29575833367835,2457998.61113664,12.525,0.016
5.3135085037602,2457998.61220165,12.525,0.017
5.33125850309989,2457998.61326665,12.524,0.017
5.34880866389722,2457998.61431966,12.532,0.017
5.36617533086519,2457998.61536166,12.535,0.017
5.38392550094704,2457998.61642667,12.524,0.018
5.40147549876383,2457998.61747967,12.534,0.017
5.41884233647397,2457998.61852168,12.552,0.017
5.4365924987942,2457998.61958669,12.525,0.018
5.45432583522052,2457998.62065069,12.553,0.018
5.47207599754165,2457998.6217157,12.54,0.018
5.48962600311916,2457998.6227687,12.533,0.018
5.50719283459148,2457998.62382271,12.53,0.018
5.52474300315043,2457998.62487572,12.503,0.018
5.54249300248921,2457998.62594072,12.519,0.018
5.55984316952527,2457998.62698173,12.502,0.018
5.57720983649324,2457998.62802373,12.486,0.018
5.59514333742391,2457998.62909974,12.492,0.018
5.61251016737333,2457998.63014175,12.465,0.019
