BJD,JD,V,V_error
2455913.65781788,2455913.65537,16.507,0.066
2455913.66029788,2455913.65785,16.324,0.055
2455913.66275788,2455913.66031,16.145,0.048
2455913.66523788,2455913.66279,16.131,0.044
2455913.66765787,2455913.66521,16.195,0.051
2455913.67148787,2455913.66904,16.554,0.067
2455913.68237786,2455913.67993,16.486,0.064
2455913.71290783,2455913.71046,16.277,0.06
2455913.71509783,2455913.71265,16.446,0.063
2455913.71731783,2455913.71487,16.213,0.052
2455913.71951783,2455913.71707,16.177,0.056
2455913.72172783,2455913.71928,16.454,0.067
2455913.72393783,2455913.72149,16.819,0.096
2455913.72613782,2455913.72369,16.758,0.088
2455913.72835782,2455913.72591,16.599,0.076
2455913.73057782,2455913.72813,16.45,0.067
2455913.73279782,2455913.73035,16.441,0.062
2455913.73499782,2455913.73255,16.313,0.065
2455913.73722781,2455913.73478,16.459,0.07
2455913.73945781,2455913.73701,16.574,0.075
2455913.74168781,2455913.73924,16.661,0.083
2455913.74390781,2455913.74146,16.535,0.072
2455913.74613781,2455913.74369,16.38,0.064
2455913.7483478,2455913.7459,16.375,0.066
2455913.7505778,2455913.74813,16.348,0.056
2455913.7546478,2455913.7522,16.69,0.079
2455913.7568578,2455913.75441,16.621,0.074
2455913.75907779,2455913.75663,16.605,0.078
2455913.76131779,2455913.75887,16.463,0.071
2455913.76354779,2455913.7611,16.348,0.06
2455913.76576779,2455913.76332,16.604,0.074
2455913.76800779,2455913.76556,17.057,0.119
2455913.77022779,2455913.76778,16.793,0.094
2455913.77245778,2455913.77001,16.758,0.091
2455913.77469778,2455913.77225,16.998,0.113
2455913.77692778,2455913.77448,16.949,0.1
2455913.77916778,2455913.77672,16.744,0.081
2455913.78139777,2455913.77895,16.679,0.083
2455913.78362777,2455913.78118,16.823,0.094
2455913.78585777,2455913.78341,16.795,0.089
2455913.78810777,2455913.78566,16.912,0.108
2455913.79033777,2455913.78789,16.817,0.094
2455913.79257776,2455913.79013,16.935,0.102
2455913.79633776,2455913.79389,16.658,0.076
2455913.79859776,2455913.79615,16.951,0.113
2455913.80082776,2455913.79838,16.786,0.092
2455913.80307776,2455913.80063,16.667,0.085
2455913.80530775,2455913.80286,16.468,0.073
2455913.80754775,2455913.8051,16.721,0.086
2455913.80979775,2455913.80735,16.515,0.069
2455913.81205775,2455913.80961,16.58,0.078
2455913.81429774,2455913.81185,16.799,0.091
2455913.81653774,2455913.81409,16.844,0.101
