BJD,JD,V ,V_error
2456487.53590753,2456487.53288,13.324,0.007
2456487.53863731,2456487.53561,13.388,0.007
2456487.54136709,2456487.53834,13.378,0.007
2456487.54410687,2456487.54108,13.378,0.007
2456487.54684666,2456487.54382,13.392,0.007
2456487.54957644,2456487.54655,13.408,0.007
2456487.55230622,2456487.54928,13.401,0.008
2456487.555056,2456487.55203,13.395,0.007
2456487.55778578,2456487.55476,13.425,0.007
2456487.56051557,2456487.55749,13.455,0.008
2456487.56325535,2456487.56023,13.47,0.007
2456487.56598513,2456487.56296,13.463,0.008
2456487.56873491,2456487.56571,13.454,0.008
2456487.5714747,2456487.56845,13.445,0.008
2456487.57421448,2456487.57119,13.457,0.007
2456487.57694426,2456487.57392,13.475,0.008
2456487.57969404,2456487.57667,13.48,0.008
2456487.58243382,2456487.57941,13.515,0.008
2456487.58517361,2456487.58215,13.499,0.008
2456487.58792339,2456487.5849,13.51,0.008
2456487.59065317,2456487.58763,13.469,0.008
2456487.59340295,2456487.59038,13.424,0.008
2456487.59615273,2456487.59313,13.405,0.007
2456487.59889251,2456487.59587,13.361,0.007
2456487.6016323,2456487.59861,13.315,0.007
2456487.60437208,2456487.60135,13.287,0.007
2456487.60713186,2456487.60411,13.311,0.007
2456487.60987164,2456487.60685,13.318,0.007
2456487.61263142,2456487.60961,13.343,0.008
2456487.6153812,2456487.61236,13.392,0.008
2456487.61812098,2456487.6151,13.397,0.008
2456487.62088076,2456487.61786,13.406,0.007
2456487.62363054,2456487.62061,13.429,0.008
2456487.62639032,2456487.62337,13.415,0.008
2456487.62914011,2456487.62612,13.419,0.008
2456487.63190988,2456487.62889,13.399,0.008
2456487.63465967,2456487.63164,13.447,0.008
2456487.63742945,2456487.63441,13.462,0.008
2456487.64017923,2456487.63716,13.479,0.008
2456487.64294901,2456487.63993,13.487,0.008
2456487.64571879,2456487.6427,13.464,0.008
2456487.64847857,2456487.64546,13.47,0.008
2456487.65124835,2456487.64823,13.479,0.008
2456487.65401812,2456487.651,13.521,0.008
2456487.65644793,2456487.65343,13.541,0.008
2456487.65887774,2456487.65586,13.535,0.008
2456487.66130754,2456487.65829,13.525,0.008
2456487.66373735,2456487.66072,13.501,0.008
2456487.66617716,2456487.66316,13.509,0.009
2456487.66860696,2456487.66559,13.457,0.008
2456488.46838307,2456488.46543,13.508,0.008
2456488.47076288,2456488.46781,13.526,0.008
2456488.47314269,2456488.47019,13.527,0.008
2456488.4755225,2456488.47257,13.515,0.008
2456488.47789231,2456488.47494,13.511,0.008
2456488.48028212,2456488.47733,13.514,0.008
2456488.48266193,2456488.47971,13.537,0.008
2456488.48504174,2456488.48209,13.536,0.008
2456488.48743155,2456488.48448,13.525,0.008
2456488.48981136,2456488.48686,13.559,0.008
2456488.49220116,2456488.48925,13.551,0.008
2456488.49458097,2456488.49163,13.588,0.008
2456488.49697078,2456488.49402,13.589,0.008
2456488.49935059,2456488.4964,13.586,0.008
2456488.5017304,2456488.49878,13.595,0.008
2456488.50413021,2456488.50118,13.598,0.008
2456488.50651002,2456488.50356,13.583,0.008
2456488.50890982,2456488.50596,13.559,0.008
2456488.51128963,2456488.50834,13.536,0.008
2456488.51388942,2456488.51094,13.473,0.008
2456488.51675919,2456488.51381,13.456,0.008
2456488.51962896,2456488.51668,13.436,0.008
2456488.52249874,2456488.51955,13.424,0.008
2456488.52536851,2456488.52242,13.41,0.008
2456488.52823828,2456488.52529,13.416,0.007
2456488.53110804,2456488.52816,13.439,0.008
2456488.53398781,2456488.53104,13.478,0.008
2456488.5367176,2456488.53377,13.509,0.008
2456488.53944738,2456488.5365,13.51,0.008
2456488.54219716,2456488.53925,13.525,0.008
2456488.54493694,2456488.54199,13.525,0.008
2456488.54766672,2456488.54472,13.515,0.008
2456488.5503965,2456488.54745,13.524,0.008
2456488.55315628,2456488.55021,13.51,0.008
2456488.55588606,2456488.55294,13.531,0.008
2456488.55862584,2456488.55568,13.541,0.008
2456488.56138562,2456488.55844,13.554,0.008
2456488.5641254,2456488.56118,13.556,0.008
2456488.56685518,2456488.56391,13.555,0.008
2456488.56960496,2456488.56666,13.568,0.008
2456488.57234474,2456488.5694,13.591,0.008
2456488.57509452,2456488.57215,13.587,0.008
2456488.5778543,2456488.57491,13.607,0.008
2456488.58060408,2456488.57766,13.605,0.008
2456488.58336385,2456488.58042,13.573,0.008
2456488.58610363,2456488.58316,13.547,0.008
2456488.58884342,2456488.5859,13.55,0.008
2456488.59159319,2456488.58865,13.512,0.008
2456488.59434297,2456488.5914,13.508,0.008
2456488.59710275,2456488.59416,13.52,0.008
2456488.59985253,2456488.59691,13.468,0.008
2456488.60260231,2456488.59966,13.445,0.008
2456488.60536209,2456488.60242,13.455,0.008
2456488.60811187,2456488.60517,13.489,0.008
2456488.61086165,2456488.60792,13.506,0.008
2456488.61361143,2456488.61067,13.551,0.008
2456488.61638121,2456488.61344,13.52,0.009
2456488.61914098,2456488.6162,13.54,0.009
2456488.62190076,2456488.61896,13.545,0.009
2456488.62466054,2456488.62172,13.548,0.009
2456488.62743032,2456488.62449,13.543,0.009
2456488.6302001,2456488.62726,13.549,0.009
2456488.63295988,2456488.63002,13.556,0.009
2456488.63572966,2456488.63279,13.553,0.009
2456488.63850943,2456488.63557,13.557,0.009
